,0
0,Álava
1,Albacete
2,Alicante
3,Almería
4,Asturias
5,Ávila
6,Badajoz
7,Baleares
8,Barcelona
9,Burgos
10,Cáceres
11,Cádiz
12,Cantabria
13,Castellón
14,Ciudad Real
15,Cuenca
16,Gerona
17,Granada
18,Guadalajara
19,Guipúzcoa
20,Huesca
21,La Coruña
22,La Rioja
23,Las Palmas
24,León
25,Lérida
26,Lugo
27,Madrid
28,Málaga
29,Murcia
30,Navarra
31,Orense
32,Palencia
33,Pontevedra
34,Salamanca
35,Segovia
36,Soria
37,Tarragona
38,Santa Cruz de Tenerife
39,Teruel
40,Toledo
41,Valencia
42,Valladolid
43,Vizcaya
44,Zamora
45,Zaragoza
