provincia,x,y
Álava,32.0,162.0
Albacete,63.0,-57.0
Alicante,111.0,-74.0
Almería,49.0,-143.0
Asturias,-102.0,189.0
Ávila,-56.0,32.0
Badajoz,-107.0,-61.0
Baleares,268.0,-15.0
Barcelona,219.0,95.0
Burgos,-4.0,132.0
Cáceres,-106.0,-3.0
Cádiz,-90.0,-172.0
Cantabria,-22.0,181.0
Castellón,140.0,13.0
Ciudad Real,-17.0,-50.0
Córdoba,-54.0,-90.0
Cuenca,46.0,8.0
Gerona,255.0,125.0
Granada,0.0,-140.0
Guadalajara,25.0,55.0
Guipúzcoa,51.0,176.0
Huelva,-132.0,-119.0
Huesca,142.0,132.0
Jaén,-2.0,-89.0
La Coruña,-212.0,176.0
La Rioja,35.0,131.0
Las Palmas,-173.0,-227.0
León,-100.0,146.0
Lérida,183.0,126.0
Lugo,-157.0,169.0
Madrid,-7.0,32.0
Málaga,-48.0,-154.0
Murcia,84.0,-101.0
Navarra,72.0,152.0
Orense,-161.0,121.0
Palencia,-44.0,142.0
Pontevedra,-203.0,140.0
Salamanca,-102.0,53.0
Segovia,-24.0,70.0
Sevilla,-94.0,-125.0
Soria,35.0,95.0
Tarragona,172.0,65.0
Santa Cruz de Tenerife,-273.0,-231.0
Teruel,108.0,43.0
Toledo,-34.0,-2.0
Valencia,110.0,-31.0
Valladolid,-48.0,94.0
Vizcaya,28.0,184.0
Zamora,-110.0,102.0
Zaragoza,94.0,96.0
